"","City","total_deaths","Massachusetts.Cities.by.Population.Rank","Population","County","Year","Deaths"
"1536","Lanesborough",4,279,2965,"Berkshire","2017",2
"1537","Lawrence",145,13,80162,"Essex","2017",37
"1538","Lee",8,238,5725,"Berkshire","2017",3
"1539","Leicester",11,169,11373,"Worcester","2017",4
"1540","Lenox",3,250,4957,"Berkshire","2017",2
"1541","Leominster",52,36,41615,"Worcester","2017",16
"1542","Leverett",1,295,1853,"Franklin","2017",1
"1543","Lexington",8,51,33727,"Middlesex","2017",0
"1544","Leyden",0,335,715,"Franklin","2017",0
"1545","Lincoln",1,222,6781,"Middlesex","2017",0
"1546","Littleton",3,181,10115,"Middlesex","2017",1
"1547","Longmeadow",6,129,15864,"Hampden","2017",0
"1548","Lowell",246,5,111346,"Middlesex","2017",52
"1549","Ludlow",18,91,21502,"Hampden","2017",4
"1550","Lunenburg",11,171,11312,"Worcester","2017",3
"1551","Lynn",221,9,94063,"Essex","2017",61
"1552","Lynnfield",7,154,12942,"Essex","2017",2
"1553","Malden",82,17,61246,"Middlesex","2017",16
"1554","Manchester",2,NA,5393,"Essex","2017",0
"1555","Mansfield",25,82,23946,"Bristol","2017",8
"1556","Marblehead",12,93,20554,"Essex","2017",5
"1557","Marion",4,248,5107,"Plymouth","2017",1
"1558","Marlborough",29,41,39873,"Middlesex","2017",5
"1559","Marshfield",32,76,25836,"Plymouth","2017",12
"1560","Mashpee",27,142,14191,"Barnstable","2017",1
"1561","Mattapoisett",5,229,6330,"Plymouth","2017",1
"1562","Maynard",7,177,10665,"Middlesex","2017",2
"1563","Medfield",1,155,12845,"Norfolk","2017",0
"1564","Medford",78,20,57797,"Middlesex","2017",17
"1565","Medway",5,152,13329,"Norfolk","2017",0
"1566","Melrose",31,67,28367,"Middlesex","2017",10
"1567","Mendon",3,234,6094,"Worcester","2017",0
"1568","Merrimac",5,219,6913,"Essex","2017",1
"1569","Methuen",60,NA,50259,"Essex","2017",20
"1570","Middleborough",41,80,24873,"Plymouth","2017",7
"1571","Middlefield",0,NA,536,"Hampshire","2017",0
"1572","Middleton",11,182,9861,"Essex","2017",3
"1573","Milford",26,62,28933,"Worcester","2017",6
"1574","Millbury",21,149,13733,"Worcester","2017",7
"1575","Millis",8,200,8216,"Norfolk","2017",1
"1576","Millville",1,271,3252,"Worcester","2017",0
"1577","Milton",12,69,27575,"Norfolk","2017",1
"1578","Monroe",0,349,118,"Franklin","2017",0
"1579","Monson",6,194,8836,"Hampden","2017",1
"1580","Montague",8,199,8259,"Franklin","2017",2
"1581","Monterey",0,325,936,"Berkshire","2017",0
"1582","Montgomery",1,331,864,"Hampden","2017",0
"1583","Mount Washington",0,348,158,"Berkshire","2017",0
"1584","Nahant",3,266,3502,"Essex","2017",0
"1585","Nantucket",8,172,11229,"Nantucket","2017",3
"1586","Natick",25,45,36246,"Middlesex","2017",7
"1587","Needham",3,57,30999,"Norfolk","2017",1
"1588","New Ashford",1,347,223,"Berkshire","2017",0
"1589","New Bedford",212,7,95120,"Bristol","2017",45
"1590","New Braintree",0,323,1025,"Worcester","2017",0
"1591","New Marlborough",1,310,1458,"Berkshire","2017",0
"1592","New Salem",1,324,1017,"Franklin","2017",0
"1593","Newbury",6,218,7079,"Essex","2017",1
"1594","Newburyport",18,108,18060,"Essex","2017",5
"1595","Newton",40,11,88994,"Middlesex","2017",9
"1596","Norfolk",6,164,11793,"Norfolk","2017",0
"1597","North Adams",23,153,12970,"Berkshire","2017",5
"1598","North Andover",15,56,31013,"Essex","2017",4
"1599","North Attleboro",36,NA,29153,"Bristol","2017",9
"1600","North Brookfield",5,253,4793,"Worcester","2017",1
"1601","North Reading",12,130,15735,"Middlesex","2017",6
"1602","Northampton",33,65,28593,"Hampshire","2017",6
"1603","Northborough",5,134,15033,"Worcester","2017",2
"1604","Northbridge",12,120,16630,"Worcester","2017",4
"1605","Northfield",1,277,2988,"Franklin","2017",0
"1606","Norton",22,96,19882,"Bristol","2017",5
"1607","Norwell",11,173,11067,"Plymouth","2017",3
"1608","Norwood",28,60,29195,"Norfolk","2017",8
"1609","Oak Bluffs",7,255,4678,"Dukes","2017",1
"1610","Oakham",0,289,1946,"Worcester","2017",0
"1611","Orange",9,214,7651,"Franklin","2017",1
"1612","Orleans",3,237,5820,"Barnstable","2017",0
"1613","Otis",1,308,1549,"Berkshire","2017",0
"1614","Oxford",21,145,13980,"Worcester","2017",4
"1615","Palmer",9,NA,21140,"Hampden","2017",2
"1616","Paxton",3,252,4881,"Worcester","2017",0
"1617","Peabody",71,25,52987,"Essex","2017",23
"1618","Pelham",0,313,1325,"Hampshire","2017",0
"1619","Pembroke",24,105,18377,"Plymouth","2017",6
"1620","Pepperell",10,160,12146,"Middlesex","2017",2
"1621","Peru",1,332,837,"Berkshire","2017",1
"1622","Petersham",1,318,1250,"Worcester","2017",0
"1623","Phillipston",0,300,1744,"Worcester","2017",0
"1624","Pittsfield",76,33,42591,"Berkshire","2017",11
"1625","Plainfield",0,339,662,"Hampshire","2017",0
"1626","Plainville",13,192,9154,"Norfolk","2017",5
"1627","Plymouth",91,18,59885,"Plymouth","2017",23
"1628","Plympton",3,278,2971,"Plymouth","2017",0
"1629","Princeton",4,267,3454,"Worcester","2017",0
"1630","Provincetown",1,280,2959,"Barnstable","2017",0
"1631","Quincy",196,8,94166,"Norfolk","2017",40
"1632","Randolph",41,50,34272,"Norfolk","2017",6
"1633","Raynham",17,140,14203,"Bristol","2017",4
"1634","Reading",17,75,26106,"Middlesex","2017",5
"1635","Rehoboth",4,158,12188,"Bristol","2017",2
"1636","Revere",110,24,53993,"Suffolk","2017",24
"1637","Richmond",1,311,1412,"Berkshire","2017",0
"1638","Rochester",3,239,5575,"Plymouth","2017",2
"1639","Rockland",55,110,17957,"Plymouth","2017",15
"1640","Rockport",9,215,7246,"Essex","2017",2
"1641","Rowe",0,343,388,"Franklin","2017",0
"1642","Rowley",5,230,6325,"Essex","2017",3
"1643","Royalston",3,314,1272,"Worcester","2017",0
"1644","Russell",0,297,1793,"Hampden","2017",0
"1645","Rutland",5,195,8700,"Worcester","2017",1
"1646","Salem",74,32,43415,"Essex","2017",21
"1647","Salisbury",31,189,9400,"Essex","2017",8
"1648","Sandisfield",0,327,893,"Berkshire","2017",0
"1649","Sandwich",14,94,20303,"Barnstable","2017",3
"1650","Saugus",46,68,28251,"Essex","2017",7
"1651","Savoy",0,338,680,"Berkshire","2017",0
"1652","Scituate",17,103,18688,"Plymouth","2017",3
"1653","Seekonk",10,131,15548,"Bristol","2017",2
"1654","Sharon",10,106,18277,"Norfolk","2017",2
"1655","Sheffield",1,274,3149,"Berkshire","2017",0
"1656","Shelburne",3,296,1848,"Franklin","2017",0
"1657","Sherborn",4,259,4323,"Middlesex","2017",1
"1658","Shirley",7,213,7672,"Middlesex","2017",3
"1659","Shrewsbury",24,43,37387,"Worcester","2017",8
"1660","Shutesbury",0,299,1754,"Franklin","2017",0
"1661","Somerset",17,107,18176,"Bristol","2017",5
"1662","Somerville",81,12,81360,"Middlesex","2017",16
"1663","South Hadley",13,111,17791,"Hampshire","2017",3
"1664","Southampton",5,232,6196,"Hampshire","2017",1
"1665","Southborough",1,180,10136,"Worcester","2017",0
"1666","Southbridge",28,NA,16911,"Worcester","2017",5
"1667","Southwick",8,185,9758,"Hampden","2017",3
"1668","Spencer",22,162,11954,"Worcester","2017",5
"1669","Springfield",163,3,154758,"Hampden","2017",38
"1670","Sterling",4,203,8136,"Worcester","2017",1
"1671","Stockbridge",2,291,1906,"Berkshire","2017",1
"1672","Stoneham",27,90,22036,"Middlesex","2017",6
"1673","Stoughton",49,66,28528,"Norfolk","2017",7
"1674","Stow",3,217,7102,"Middlesex","2017",1
"1675","Sturbridge",10,186,9584,"Worcester","2017",5
"1676","Sudbury",0,101,18867,"Middlesex","2017",0
"1677","Sunderland",3,265,3644,"Franklin","2017",1
"1678","Sutton",1,188,9458,"Worcester","2017",0
"1679","Swampscott",15,132,15177,"Essex","2017",2
"1680","Swansea",15,121,16528,"Bristol","2017",5
"1681","Taunton",106,21,57139,"Bristol","2017",29
"1682","Templeton",12,202,8138,"Worcester","2017",2
"1683","Tewksbury",40,54,31247,"Middlesex","2017",10
"1684","Tisbury",6,261,4109,"Dukes","2017",1
"1685","Tolland",0,341,500,"Hampden","2017",0
"1686","Topsfield",4,226,6560,"Essex","2017",1
"1687","Townsend",13,187,9522,"Middlesex","2017",4
"1688","Truro",1,288,2004,"Barnstable","2017",0
"1689","Tyngsborough",11,156,12357,"Middlesex","2017",3
"1690","Tyringham",1,346,319,"Berkshire","2017",0
"1691","Upton",4,208,7926,"Worcester","2017",1
"1692","Uxbridge",9,143,13997,"Worcester","2017",1
"1693","Wakefield",37,73,27157,"Middlesex","2017",8
"1694","Wales",1,292,1892,"Hampden","2017",1
"1695","Walpole",19,78,25073,"Norfolk","2017",4
"1696","Waltham",61,16,62442,"Middlesex","2017",15
"1697","Ware",21,183,9853,"Hampshire","2017",2
"1698","Wareham",57,89,22640,"Plymouth","2017",16
"1699","Warren",6,246,5218,"Worcester","2017",1
"1700","Warwick",1,333,762,"Franklin","2017",0
"1701","Washington",0,NA,536,"Berkshire","2017",0
"1702","Watertown",39,NA,35756,"Middlesex","2017",8
"1703","Wayland",6,147,13954,"Middlesex","2017",2
"1704","Webster",29,117,17020,"Worcester","2017",10
"1705","Wellesley",4,59,29479,"Norfolk","2017",1
"1706","Wellfleet",4,282,2736,"Barnstable","2017",2
"1707","Wendell",0,328,883,"Franklin","2017",0
"1708","Wenham",4,244,5246,"Essex","2017",1
"1709","West Boylston",8,206,8056,"Worcester","2017",3
"1710","West Bridgewater",12,216,7231,"Plymouth","2017",3
"1711","West Brookfield",4,262,3779,"Worcester","2017",0
"1712","West Newbury",0,256,4637,"Essex","2017",0
"1713","West Springfield",39,NA,28704,"Hampden","2017",11
"1714","West Stockbridge",1,315,1267,"Berkshire","2017",0
"1715","West Tisbury",2,281,2898,"Dukes","2017",0
"1716","Westborough",11,99,19109,"Worcester","2017",3
"1717","Westfield",47,35,41700,"Hampden","2017",10
"1718","Westford",12,81,24310,"Middlesex","2017",7
"1719","Westhampton",0,305,1641,"Hampshire","2017",0
"1720","Westminster",3,211,7766,"Worcester","2017",2
"1721","Weston",4,159,12150,"Middlesex","2017",2
"1722","Westport",18,128,15910,"Bristol","2017",6
"1723","Westwood",8,124,16056,"Norfolk","2017",0
"1724","Weymouth",122,NA,56664,"Norfolk","2017",31
"1725","Whately",0,307,1551,"Franklin","2017",0
"1726","Whitman",23,135,15022,"Plymouth","2017",9
"1727","Wilbraham",3,137,14671,"Hampden","2017",0
"1728","Williamsburg",2,284,2492,"Hampshire","2017",1
"1729","Williamstown",3,210,7835,"Berkshire","2017",0
"1730","Wilmington",24,83,23803,"Middlesex","2017",6
"1731","Winchendon",9,175,10862,"Worcester","2017",3
"1732","Winchester",9,88,22838,"Middlesex","2017",1
"1733","Windsor",0,330,873,"Berkshire","2017",0
"1734","Winthrop",26,NA,18625,"Suffolk","2017",10
"1735","Woburn",50,42,39701,"Middlesex","2017",16
"1736","Worcester",334,2,185677,"Worcester","2017",79
"1737","Worthington",0,321,1193,"Hampshire","2017",0
"1738","Wrentham",13,163,11838,"Norfolk","2017",5
"1739","Yarmouth",38,87,23339,"Barnstable","2017",8
"1740","Unknown",4,NA,NA,NA,"2017",2
